#{"t_start": 1681589345.1900601, "env_id": null}
r,l,t
-28.411111,46,21.813334
-62.111852,39,21.837879
-1.48,53,21.872878
-3.113704,112,21.945124
-88.49,22,21.959147
-50.895185,65,22.001309
-21.94963,47,22.032912
-80.121852,101,22.101376
-82.984815,31,22.123605
-84.877778,84,22.180506
-99.202222,19,22.194153
-85.718148,70,22.240816
-98.936296,20,22.254188
-84.146296,98,22.32031
-39.42,10,22.326822
-83.771852,21,22.34269
-39.202222,14,22.351605
-39.252593,14,22.361785
-28.411111,29,22.381513
-95.700741,74,22.43571
-98.977407,20,22.449579
-82.175926,46,22.481207
-7.916667,31,22.501575
-86.415556,58,22.541053
-82.123704,43,22.571148
-85.800741,71,22.621418
-82.362222,46,22.652439
-28.095926,28,22.67137
-23.080741,28,22.69023
-23.86,19,22.70385
-99.231111,14,22.713013
-44.553333,90,22.775385
-98.094444,35,22.800381
-38.954815,21,22.815219
-24.048148,16,22.826249
-82.054444,48,22.85912
-38.694444,21,22.873593
33.917037,60,22.913269
-82.989259,31,22.934381
-81.601481,61,22.973648
-23.083333,31,22.99441
-4.211852,92,23.056413
-83.345926,27,23.075138
-99.155556,17,23.089259
-83.339259,113,23.166447
-37.93037,38,23.192699
-79.607778,97,23.255603
-75.745926,76,23.304683
-72.632963,124,23.389506
-87.122222,52,23.426299
-81.805556,54,23.461449
-21.897037,53,23.497998
-98.658519,24,23.514375
-98.822593,28,23.533411
-65.923704,66,23.576095
-39.067778,17,23.587122
-85.000741,81,23.642255
-83.362593,25,23.658806
-72.147778,42,23.685117
-39.005926,23,23.701478
-68.317037,101,23.772162
-82.906296,33,23.796886
-80.363704,79,23.847693
-38.943333,18,23.860203
-82.482222,42,23.888509
-84.104444,15,23.899174
-98.055556,35,23.922765
-97.643704,47,23.954344
-81.160741,63,23.994227
8.181111,151,24.094828
-81.804444,51,24.131335
-34.322222,120,24.210013
-76.668519,62,24.251502
-73.046296,126,24.333382
38.524444,151,24.435492
-48.547778,21,24.450181
