#{"t_start": 1681844333.6413796, "env_id": null}
r,l,t
-15.643976,201,193.014684
31.303063,201,193.712418
91.996964,201,194.370598
-42.546715,29,194.862262
-85.657315,147,195.598498
-39.480946,126,196.254876
-39.734571,37,196.28952
-14.399573,201,196.940716
72.651387,201,197.661467
-41.758253,58,198.140085
-101.61201,125,198.777358
-21.027242,201,199.550769
-14.068097,201,200.221323
-41.212806,57,200.274906
-97.940112,26,200.299455
-93.001708,117,200.71755
-33.212295,138,201.277549
-46.862648,63,201.848233
-23.39354,201,202.47199
-41.551919,18,203.019099
-35.90321,120,203.131071
113.162704,201,203.959741
10.10881,201,204.620094
-17.081767,201,205.355867
-1.79691,201,206.072029
-34.357559,73,206.139104
-92.323372,147,206.605028
-11.249698,201,207.407362
-109.636171,125,207.925828
2.160468,201,208.641459
-7.906406,201,209.357674
-25.762243,201,210.045023
-16.764306,201,210.66812
-109.546965,83,211.237345
19.52441,201,211.837707
-29.489121,201,212.780077
-108.40385,97,213.331456
-26.595928,201,214.001234
0.882547,201,214.813492
-40.747249,20,214.83274
-12.155512,109,215.318857
-97.606634,43,215.362329
51.580348,193,216.018002
13.344694,201,216.638304
-2.165655,201,217.473836
-45.324752,124,218.051795
-1.130956,201,218.682597
-99.793743,40,219.300908
-89.614562,125,219.886776
-45.325039,84,219.972134
-101.214052,26,220.481234
-23.323335,201,221.319534
-23.11756,201,222.11184
7.553694,201,222.732782
-90.241005,187,223.512795
-17.69952,201,224.149978
-101.47374,22,224.696967
-41.39066,81,224.771734
44.961896,201,225.532861
2.212282,201,226.182335
-97.596629,89,226.798655
-100.678761,12,226.810681
-34.70842,62,227.239236
-18.679293,200,227.960941
-39.612788,14,227.975403
10.324136,201,228.693259
-38.266022,21,228.713166
-39.914186,56,228.764291
-34.17355,76,229.197673
54.445936,74,229.664932
-14.289015,201,230.382563
-101.166687,12,230.394232
-51.468691,178,231.06862
-37.543595,155,231.667784
-104.654616,47,231.712292
-39.801735,10,231.724325
-39.218382,38,232.065883
-25.484455,201,232.720239
-17.793957,201,233.475285
-5.617996,201,234.150625
-35.304259,133,234.79777
10.13942,201,235.529206
-103.174891,50,235.584792
-6.832001,201,236.304413
-12.545064,201,236.974619
