#{"t_start": 1682030397.8749208, "env_id": null}
r,l,t
-97.220293,22,6.542008
-107.760236,30,6.549487
-2.924014,14,6.552806
-109.084722,16,6.557386
-24.325161,24,6.563536
-39.083374,17,6.568851
24.564161,109,6.597007
-98.599129,10,6.600112
-38.865142,10,6.602756
-38.387396,11,6.606141
-40.212687,12,6.61035
-44.024102,40,6.619874
-46.313744,62,6.635063
-99.531676,15,6.639839
-33.619053,11,6.643729
-39.187043,10,6.646326
-39.41506,11,6.649865
-45.546195,46,6.662827
-106.987278,23,6.668172
-119.293456,39,6.67776
-94.738367,53,6.690873
-104.951813,23,6.696626
-99.168171,11,6.699851
-95.432272,49,6.711573
-38.998907,11,6.71434
-119.2265,49,6.727358
-73.654576,66,6.742936
-98.909562,10,6.745448
-83.627543,10,6.74805
-104.285244,19,6.7528
-59.75881,77,6.769941
-116.516063,28,6.77763
-34.202615,49,6.789785
-103.440534,19,6.795583
-38.326915,12,6.79863
-106.518681,14,6.802013
-128.295071,43,6.812465
-40.102329,12,6.815952
-38.62354,11,6.818665
-28.742635,10,6.821678
-155.810831,80,6.840972
-98.755422,10,6.844692
-191.945943,124,6.876185
-94.304377,35,6.88417
-23.532755,13,6.887527
-98.234151,15,6.892485
-99.423259,11,6.895175
-38.491986,16,6.899307
-39.122199,13,6.902556
-21.944152,39,6.912822
-49.383693,25,6.918325
-96.756984,27,6.925443
-59.597705,42,6.93468
-39.088328,10,6.938198
-107.632869,21,6.944615
-48.580549,44,6.954279
-18.972858,10,6.956983
-73.632337,74,6.974431
-39.108687,10,6.977041
-23.455593,13,6.980332
-40.229338,35,6.988348
-133.358297,71,7.00425
-39.262956,11,7.007244
-63.588486,21,7.012194
-46.06848,22,7.017292
-136.672185,55,7.03039
-47.891964,29,7.037291
-115.367124,33,7.044717
-144.93816,65,7.059295
-87.438395,36,7.0681
-99.243769,10,7.070627
-98.067884,12,7.073661
-118.220368,36,7.082043
-71.92461,81,7.102481
-18.660087,10,7.105065
-39.177512,13,7.108419
-39.729082,14,7.111832
-44.965201,25,7.118068
-28.38117,13,7.121331
-99.107664,11,7.12425
-112.059723,75,7.139979
-39.862294,10,7.143409
-56.29959,37,7.151908
-120.613444,56,7.163716
-39.417343,10,7.166326
-130.858029,65,7.180377
-98.47498,11,7.18334
-112.88226,35,7.190747
-135.544762,52,7.202127
-98.579887,11,7.205543
-136.773516,71,7.221592
-44.130947,102,7.242674
-23.689647,12,7.245635
-46.088072,40,7.255103
-29.768118,47,7.265718
-90.314588,99,7.285473
-104.288241,23,7.290586
-45.410782,24,7.296336
-38.924114,10,7.298769
-70.39196,27,7.3046
-98.76044,13,7.307698
-109.810349,83,7.328306
-112.210076,35,7.33594
-76.727838,151,7.36603
-39.572831,10,7.368602
-75.388326,73,7.38516
-37.904982,14,7.388539
58.137781,40,7.397059
-127.961192,53,7.408019
-110.290322,32,7.415672
-111.536902,109,7.438827
-28.484503,11,7.441534
-124.991396,111,7.464817
-99.000498,10,7.467964
-23.568288,11,7.470718
-153.120025,89,7.489637
-99.181898,18,7.493751
-39.022207,12,7.49763
-38.904519,11,7.500599
-125.227572,46,7.510833
-110.159132,36,7.518876
-99.408133,17,7.523518
-39.238587,11,7.52641
-113.147864,41,7.535485
-124.618544,63,7.550947
-98.954834,11,7.554324
-165.570692,114,7.577724
-29.608001,24,7.583105
-23.332295,38,7.591215
-39.816006,15,7.595689
-39.32364,11,7.598599
-21.581162,39,7.607105
-132.604117,67,7.62106
-39.255111,12,7.624835
-102.273719,74,7.639914
-113.860947,41,7.648527
-99.444614,10,7.651646
-39.115475,13,7.655329
-115.993836,39,7.664364
-33.603496,10,7.666938
-12.799177,32,7.67382
-102.218983,54,7.686005
-0.554608,24,7.691584
-39.372397,10,7.694109
-93.997214,59,7.706516
-99.143495,11,7.71014
-45.250797,22,7.715554
-105.700796,17,7.719631
-49.991496,48,7.730172
-99.105781,12,7.733715
-86.606851,148,7.768808
-39.166246,11,7.771851
-24.178216,10,7.774763
-62.315074,36,7.783281
-78.446717,75,7.799661
-39.222056,11,7.80259
-152.818837,90,7.821869
-47.727615,27,7.829073
1.327617,49,7.839684
-47.255992,26,7.845788
-114.95315,38,7.854233
-110.152141,22,7.859833
-60.753697,57,7.87256
28.74325,63,7.886163
-33.141203,19,7.890492
-46.961429,24,7.896069
-33.218337,13,7.89905
-99.035316,13,7.902182
-38.806839,10,7.904752
-122.161392,32,7.911788
-112.194655,28,7.917636
-39.885752,18,7.921626
-83.895879,78,7.938082
-16.56614,63,7.951302
-114.791454,34,7.958683
-97.050295,39,7.966678
-54.90121,35,7.973921
-73.094314,13,7.977473
-91.479424,48,7.987792
-62.510945,54,8.002022
-38.622439,11,8.004862
-105.81449,20,8.009899
47.845976,24,8.015022
-33.495703,10,8.017525
-53.129221,37,8.025482
-68.225903,52,8.036651
-39.003139,13,8.039848
-38.967246,10,8.042384
-45.794424,33,8.049736
-99.500228,10,8.052904
-99.998443,22,8.058095
-106.239375,17,8.062186
-129.792881,72,8.077334
-98.902416,11,8.080741
-110.633117,52,8.091965
-105.524116,26,8.097619
-108.023369,25,8.102988
-39.14099,11,8.106309
-111.261218,30,8.113517
-112.744151,32,8.120455
-98.589896,10,8.123034
-10.660362,43,8.132854
-96.47921,41,8.141856
-38.555029,11,8.144493
-23.493077,12,8.147377
-69.91469,51,8.158671
-93.836508,10,8.161208
-14.816383,34,8.16906
-39.827575,15,8.172609
-38.888586,11,8.176371
-110.350906,41,8.18494
-116.187554,45,8.194535
-5.609863,38,8.202562
-128.922808,72,8.218284
-31.47484,38,8.229671
-98.799779,11,8.2324
-103.858275,16,8.236231
-39.479107,11,8.239607
-33.301332,17,8.243674
-98.611513,12,8.246558
-47.586979,28,8.252676
-98.858191,12,8.256076
-98.929214,10,8.258859
-114.17891,40,8.267308
-112.504394,51,8.27799
-38.75672,10,8.281559
-38.964658,13,8.28462
-114.602063,34,8.292009
-98.148034,12,8.294937
-46.231384,25,8.300937
-70.794802,61,8.31341
-106.558592,24,8.318813
-39.913137,10,8.32139
-53.094421,38,8.329954
-39.592315,11,8.332741
-81.255389,48,8.343356
-39.041216,11,8.346042
-39.608279,10,8.349123
18.77123,96,8.368436
-99.301314,10,8.371145
-39.107309,10,8.373824
-121.283464,47,8.384282
-99.025054,13,8.387525
-118.870148,46,8.397734
-73.401081,11,8.400445
-112.206782,46,8.410487
-83.667583,42,8.41943
-105.790078,26,8.425238
-28.369388,12,8.428219
-115.459934,39,8.436852
-21.663663,52,8.447307
-83.198788,11,8.453016
-39.825652,28,8.45921
-107.583297,18,8.463963
-137.991919,51,8.474986
-109.959952,21,8.479682
-39.548971,11,8.482477
-38.793506,11,8.485555
-50.784961,30,8.492416
-112.723415,33,8.499727
-114.162339,36,8.507345
-99.46316,12,8.511353
-83.658169,11,8.514172
-39.333046,13,8.517066
-66.207948,62,8.52983
-91.303176,35,8.537823
