#{"t_start": 1682012610.2607944, "env_id": null}
r,l,t
-178.911852,21,4.588297
-135.117747,47,4.598169
-148.473468,10,4.600664
-108.412964,10,4.603247
-98.349106,11,4.606411
-258.366052,43,4.61541
-111.149249,22,4.620195
-113.392439,16,4.623794
-179.012381,51,4.63536
-100.924149,22,4.640596
-97.235979,14,4.644242
-258.706377,82,4.662047
-149.913337,12,4.665976
-98.719256,10,4.668692
-118.722438,54,4.680122
-172.760612,24,4.68571
-170.322307,34,4.693518
-232.087775,109,4.715311
-99.323183,10,4.717894
-180.536444,38,4.72606
-120.782725,26,4.734343
-201.801705,33,4.741878
-159.388579,10,4.744596
-155.913906,10,4.747097
-149.228709,10,4.750708
-424.328909,72,4.765424
-151.686364,10,4.768065
-237.643393,45,4.777372
-99.968658,26,4.783885
-147.825399,12,4.786892
-101.303976,11,4.789629
-98.663069,10,4.792196
-290.222038,75,4.807789
-148.600489,10,4.810493
-165.471494,34,4.817611
-179.71956,32,4.824497
-201.859002,47,4.834669
-175.365033,24,4.840004
-105.907271,11,4.842592
-123.638596,24,4.847858
-97.130911,14,4.851662
-105.643789,33,4.858775
-99.554614,12,4.861614
-108.508132,32,4.868441
-212.127487,38,4.876725
-320.850583,105,4.897891
-163.22322,71,4.912235
-178.857974,58,4.924039
-98.197878,10,4.926972
-151.959289,11,4.929617
-149.04768,10,4.932173
-179.579063,65,4.945539
-141.389023,64,4.961374
-254.306361,83,4.978578
-132.110756,26,4.984302
-98.784221,10,4.986854
-122.004063,63,5.000448
-162.051913,37,5.008225
-162.101173,23,5.013446
-145.822478,19,5.017788
-103.677501,47,5.028309
-112.195033,10,5.030929
-245.249927,47,5.040766
-176.856155,62,5.053768
-99.940839,10,5.056623
-271.979809,51,5.067204
-155.421064,58,5.079193
-105.05577,12,5.08212
-97.955201,11,5.085273
-102.911074,12,5.08824
-170.802769,16,5.091979
-115.274927,52,5.102864
-123.08649,14,5.106532
-169.904187,43,5.115381
-152.223644,14,5.118684
-109.307714,13,5.12173
-148.986583,10,5.124628
-107.715375,10,5.127112
-204.514217,25,5.132471
-151.905746,15,5.136041
-158.94733,11,5.13911
-225.947619,46,5.148789
-100.33315,13,5.152068
-152.216673,13,5.155243
-150.121352,39,5.163839
-151.754349,17,5.1678
-158.081083,46,5.179834
-101.753921,12,5.182986
-102.162257,11,5.186182
-105.437694,10,5.188816
-108.308885,10,5.191335
-151.038917,24,5.196803
-115.993513,28,5.203397
-277.564128,35,5.211018
-170.698086,22,5.215883
-134.158701,22,5.220805
-109.382829,13,5.224319
-116.885747,39,5.232974
-167.456411,13,5.236167
-155.914007,25,5.241719
-99.727054,15,5.245641
-123.737017,23,5.250641
-117.24865,58,5.263195
-101.374676,22,5.268467
-135.602069,22,5.274484
-181.394933,57,5.287151
-295.642589,61,5.30074
-111.313388,21,5.305805
-150.785999,11,5.309206
-108.97221,10,5.311956
-111.294974,10,5.314534
-120.746662,36,5.322359
-152.181398,10,5.32532
-120.634288,26,5.331073
-104.103301,10,5.333673
-193.391839,44,5.342704
-526.373567,89,5.360961
-154.483121,10,5.36346
-223.307801,55,5.37512
-236.637827,35,5.38235
-100.484987,10,5.385061
-160.187152,35,5.392532
-120.122379,24,5.397703
-109.882075,40,5.408621
-180.572478,31,5.41623
-127.015433,63,5.42934
-179.634847,32,5.436115
-150.686854,33,5.443529
-213.043838,63,5.457354
-152.827343,10,5.459914
-160.766865,10,5.462522
-153.224161,59,5.474408
-152.791864,11,5.477443
-168.459396,53,5.488541
-195.268636,35,5.496043
-106.421274,22,5.500832
-521.189353,100,5.522542
-110.760774,21,5.527255
-322.959041,45,5.536749
-169.926483,24,5.542058
-301.506941,42,5.551009
-121.376866,86,5.568573
-475.350384,145,5.597791
-111.200658,12,5.600775
-156.54029,12,5.603924
-174.227109,38,5.61206
-108.739794,21,5.616601
-97.504379,16,5.620174
-269.928014,69,5.637263
-157.038284,12,5.640228
-170.291104,69,5.654969
-177.618835,51,5.666048
-132.193937,14,5.669983
-109.282486,13,5.673133
-175.834283,36,5.681072
-98.699218,24,5.686803
-121.8571,22,5.692126
-98.915275,11,5.694809
-100.285395,10,5.697478
-159.94959,34,5.704723
-133.827085,61,5.717688
-100.676902,16,5.721327
-144.385634,62,5.734366
-142.961784,59,5.74646
-151.787255,10,5.749385
-169.128444,26,5.755021
-100.2949,12,5.758017
-144.313633,63,5.771075
-102.639376,10,5.77409
-151.652657,14,5.777366
-176.677007,29,5.783797
-154.242381,27,5.789748
-173.019804,30,5.7966
-109.928223,10,5.799165
-157.315498,32,5.80607
-241.650409,31,5.812726
-99.797133,10,5.815616
-168.279064,22,5.820499
-101.239961,36,5.827876
-208.907852,75,5.843605
-226.246217,26,5.851993
-409.179662,71,5.866918
-148.728953,14,5.87033
-105.771937,12,5.873281
-490.481724,102,5.894679
-103.533978,40,5.904573
-212.825415,37,5.912973
-124.401159,21,5.918109
-99.904259,24,5.924769
-98.777621,13,5.928176
-377.015462,126,5.953851
-125.386832,21,5.958556
-99.09529,26,5.964808
-124.955999,34,5.972004
-147.793206,12,5.974865
-117.481252,23,5.979925
-101.659191,11,5.983012
-110.753758,38,5.991055
-372.315128,61,6.003796
-100.931366,11,6.006461
-171.496158,19,6.011258
-111.806018,10,6.013801
-215.527024,38,6.021755
-221.607798,21,6.026459
-123.261114,48,6.036848
-844.753824,126,6.061631
-156.392971,11,6.064382
-157.231089,22,6.071832
-133.02669,24,6.077776
-201.852988,60,6.091327
-196.126622,52,6.102405
-99.189749,12,6.105239
-250.816525,82,6.123047
-295.113526,77,6.139117
-148.484839,10,6.141893
-158.824468,45,6.151408
-155.151993,11,6.154642
-168.057174,25,6.160192
-157.033032,26,6.166366
-153.222996,11,6.169104
-219.378537,60,6.182311
-164.304192,11,6.185029
-104.025655,21,6.189808
-106.656722,13,6.192953
-111.666027,14,6.196605
-157.236795,33,6.203809
-165.443502,35,6.211311
-175.039076,62,6.224072
-151.244303,70,6.239083
-106.802468,21,6.243917
-101.217148,10,6.246538
-111.505429,22,6.251294
-155.485097,10,6.254093
-118.385829,28,6.260278
-150.533912,11,6.262989
-247.560168,43,6.271884
-98.170395,11,6.274938
-152.899801,11,6.277598
-165.71258,11,6.280285
-142.681249,25,6.285699
-166.589041,37,6.296211
-105.83045,13,6.299937
-198.709646,84,6.318186
-375.939498,87,6.336074
-97.169407,17,6.340546
-166.078833,38,6.348724
-178.913437,92,6.368046
-186.245587,67,6.382089
-148.629804,10,6.384959
-137.436139,22,6.389889
-157.126696,10,6.392357
-160.992328,43,6.401522
-156.550071,20,6.406203
-103.375636,34,6.413261
-110.31686,23,6.4185
-155.001205,19,6.422775
-169.9636,25,6.428568
-129.328638,35,6.435839
-189.033831,36,6.443309
-182.536959,52,6.454201
-104.886575,11,6.457193
-154.280047,10,6.459685
-158.002448,11,6.46231
-164.163686,10,6.464759
-100.045229,37,6.472589
-111.458018,24,6.47808
-127.223358,52,6.488657
-97.963147,14,6.492046
-265.561927,65,6.505461
-153.413038,13,6.508678
-373.538136,140,6.540412
-153.345691,24,6.545933
-106.749967,12,6.549393
-149.431768,10,6.551939
-98.878033,10,6.554482
-99.129906,10,6.557108
-104.44579,34,6.564915
-166.146708,16,6.568571
-153.211852,21,6.573398
-157.554292,10,6.575963
-118.479221,61,6.58878
-181.655211,112,6.61151
-361.690548,100,6.632121
-150.933235,19,6.636488
-104.413572,11,6.639722
-157.477185,37,6.64812
-146.778056,63,6.661172
-112.512662,13,6.664526
-167.764982,12,6.667984
-101.822095,12,6.670985
